date,price
08/20/2015,28.1625
08/21/2015,26.44
08/24/2015,25.78
08/25/2015,25.935
08/26/2015,27.4225
08/27/2015,28.23
08/28/2015,28.3225
08/31/2015,28.19
09/01/2015,26.93
09/02/2015,28.085
09/03/2015,27.5925
09/04/2015,27.3175
09/08/2015,28.0775
09/09/2015,27.5375
09/10/2015,28.1425
09/11/2015,28.5525
09/14/2015,28.8275
09/15/2015,29.07
09/16/2015,29.1025
09/17/2015,28.48
09/18/2015,28.3625
09/21/2015,28.8025
09/22/2015,28.35
09/23/2015,28.58
09/24/2015,28.75
09/25/2015,28.6775
09/28/2015,28.11
09/29/2015,27.265
09/30/2015,27.575
10/01/2015,27.395
10/02/2015,27.595
10/05/2015,27.695
10/06/2015,27.8275
10/07/2015,27.695
10/08/2015,27.375
10/09/2015,28.03
10/12/2015,27.9
10/13/2015,27.9475
10/14/2015,27.5525
10/15/2015,27.965
10/16/2015,27.76
10/19/2015,27.9325
10/20/2015,28.4425
10/21/2015,28.44
10/22/2015,28.875
10/23/2015,29.77
10/26/2015,28.82
10/27/2015,28.6375
10/28/2015,29.8175
10/29/2015,30.1325
10/30/2015,29.875
11/02/2015,30.295
11/03/2015,30.6425
11/04/2015,30.5
11/05/2015,30.23
11/06/2015,30.265
11/09/2015,30.1425
11/10/2015,29.1925
11/11/2015,29.0275
11/12/2015,28.93
11/13/2015,28.085
11/16/2015,28.5437
11/17/2015,28.4225
11/18/2015,29.3225
11/19/2015,29.695
11/20/2015,29.825
11/23/2015,29.4375
11/24/2015,29.72
11/25/2015,29.5075
11/27/2015,29.4525
11/30/2015,29.575
12/01/2015,29.335
12/02/2015,29.07
12/03/2015,28.8
12/04/2015,29.7575
12/07/2015,29.57
12/08/2015,29.5575
12/09/2015,28.905
12/10/2015,29.0425
12/11/2015,28.295
12/14/2015,28.12
12/15/2015,27.6225
12/16/2015,27.835
12/17/2015,27.245
12/18/2015,26.5075
12/21/2015,26.8325
12/22/2015,26.8075
12/23/2015,27.1525
12/24/2015,27.0075
12/28/2015,26.705
12/29/2015,27.185
12/30/2015,26.83
12/31/2015,26.315
01/04/2016,26.3375
01/05/2016,25.6775
01/06/2016,25.175
01/07/2016,24.1125
01/08/2016,24.24
01/11/2016,24.6325
01/12/2016,24.99
01/13/2016,24.3475
01/14/2016,24.88
01/15/2016,24.2825
01/19/2016,24.165
01/20/2016,24.1975
01/21/2016,24.075
01/22/2016,25.355
01/25/2016,24.86
01/26/2016,24.9975
01/27/2016,23.355
01/28/2016,23.5225
01/29/2016,24.335
02/01/2016,24.1075
02/02/2016,23.62
02/03/2016,24.0875
02/04/2016,24.15
02/05/2016,23.505
02/08/2016,23.7525
02/09/2016,23.7475
02/10/2016,23.5675
02/11/2016,23.425
02/12/2016,23.4975
02/16/2016,24.16
02/17/2016,24.53
02/18/2016,24.065
02/19/2016,24.01
02/22/2016,24.22
02/23/2016,23.6725
02/24/2016,24.025
02/25/2016,24.19
02/26/2016,24.2275
02/29/2016,24.1725
03/01/2016,25.1325
03/02/2016,25.1875
03/03/2016,25.375
03/04/2016,25.7525
03/07/2016,25.4675
03/08/2016,25.2575
03/09/2016,25.28
03/10/2016,25.2925
03/11/2016,25.565
03/14/2016,25.63
03/15/2016,26.145
03/16/2016,26.4925
03/17/2016,26.45
03/18/2016,26.48
03/21/2016,26.4775
03/22/2016,26.68
03/23/2016,26.5325
03/24/2016,26.4175
03/28/2016,26.2975
03/29/2016,26.92
03/30/2016,27.39
03/31/2016,27.2475
04/01/2016,27.4975
04/04/2016,27.78
04/05/2016,27.4525
04/06/2016,27.74
04/07/2016,27.135
04/08/2016,27.165
04/11/2016,27.255
04/12/2016,27.61
04/13/2016,28.01
04/14/2016,28.025
04/15/2016,27.4625
04/18/2016,26.87
04/19/2016,26.7275
04/20/2016,26.7825
04/21/2016,26.4925
04/22/2016,26.42
04/25/2016,26.27
04/26/2016,26.0875
04/27/2016,24.455
04/28/2016,23.7075
04/29/2016,23.435
05/02/2016,23.41
05/03/2016,23.795
05/04/2016,23.5475
05/05/2016,23.31
05/06/2016,23.18
05/09/2016,23.1975
05/10/2016,23.355
05/11/2016,23.1275
05/12/2016,22.585
05/13/2016,22.63
05/16/2016,23.47
05/17/2016,23.3725
05/18/2016,23.64
05/19/2016,23.55
05/20/2016,23.805
05/23/2016,24.1075
05/24/2016,24.475
05/25/2016,24.905
05/26/2016,25.1025
05/27/2016,25.0875
05/31/2016,24.965
06/01/2016,24.615
06/02/2016,24.43
06/03/2016,24.48
06/06/2016,24.6575
06/07/2016,24.7575
06/08/2016,24.735
06/09/2016,24.9125
06/10/2016,24.7075
06/13/2016,24.335
06/14/2016,24.365
06/15/2016,24.285
06/16/2016,24.3875
06/17/2016,23.8325
06/20/2016,23.775
06/21/2016,23.9775
06/22/2016,23.8875
06/23/2016,24.025
06/24/2016,23.35
06/27/2016,23.01
06/28/2016,23.3975
06/29/2016,23.6
06/30/2016,23.9
07/01/2016,23.9725
07/05/2016,23.7475
07/06/2016,23.8825
07/07/2016,23.985
07/08/2016,24.17
07/11/2016,24.245
07/12/2016,24.355
07/13/2016,24.2175
07/14/2016,24.6975
07/15/2016,24.695
07/18/2016,24.9575
07/19/2016,24.9675
07/20/2016,24.99
07/21/2016,24.8575
07/22/2016,24.665
07/25/2016,24.335
07/26/2016,24.1675
07/27/2016,25.7375
07/28/2016,26.085
07/29/2016,26.0525
08/01/2016,26.5125
08/02/2016,26.12
08/03/2016,26.4475
08/04/2016,26.4675
08/05/2016,26.87
08/08/2016,27.0925
08/09/2016,27.2025
08/10/2016,27.0
08/11/2016,26.9825
08/12/2016,27.045
08/15/2016,27.37
08/16/2016,27.345
08/17/2016,27.305
08/18/2016,27.27
08/19/2016,27.34
08/22/2016,27.1275
08/23/2016,27.2125
08/24/2016,27.0075
08/25/2016,26.8925
08/26/2016,26.735
08/29/2016,26.705
08/30/2016,26.5
08/31/2016,26.525
09/01/2016,26.6825
09/02/2016,26.9325
09/06/2016,26.925
09/07/2016,27.09
09/08/2016,26.38
09/09/2016,25.7825
09/12/2016,26.36
09/13/2016,26.9875
09/14/2016,27.9425
09/15/2016,28.8925
09/16/2016,28.73
09/19/2016,28.395
09/20/2016,28.3925
09/21/2016,28.3875
09/22/2016,28.655
09/23/2016,28.1775
09/26/2016,28.22
09/27/2016,28.2725
09/28/2016,28.4875
09/29/2016,28.045
09/30/2016,28.2625
10/03/2016,28.13
10/04/2016,28.25
10/05/2016,28.2625
10/06/2016,28.4725
10/07/2016,28.515
10/10/2016,29.0125
10/11/2016,29.075
10/12/2016,29.335
10/13/2016,29.245
10/14/2016,29.4075
10/17/2016,29.3875
10/18/2016,29.3675
10/19/2016,29.28
10/20/2016,29.265
10/21/2016,29.15
10/24/2016,29.4125
10/25/2016,29.5625
10/26/2016,28.8975
10/27/2016,28.62
10/28/2016,28.43
10/31/2016,28.385
11/01/2016,27.8725
11/02/2016,27.8975
11/03/2016,27.4575
11/04/2016,27.21
11/07/2016,27.6025
11/08/2016,27.765
11/09/2016,27.72
11/10/2016,26.9475
11/11/2016,27.1075
11/14/2016,26.4275
11/15/2016,26.7775
11/16/2016,27.4975
11/17/2016,27.4875
11/18/2016,27.515
11/21/2016,27.9325
11/22/2016,27.95
11/23/2016,27.8075
11/25/2016,27.9475
11/28/2016,27.8925
11/29/2016,27.865
11/30/2016,27.63
12/01/2016,27.3725
12/02/2016,27.475
12/05/2016,27.2775
12/06/2016,27.4875
12/07/2016,27.7575
12/08/2016,28.03
12/09/2016,28.4875
12/12/2016,28.325
12/13/2016,28.7975
12/14/2016,28.7975
12/15/2016,28.955
12/16/2016,28.9925
12/19/2016,29.16
12/20/2016,29.2375
12/21/2016,29.265
12/22/2016,29.0725
12/23/2016,29.13
12/27/2016,29.315
12/28/2016,29.19
12/29/2016,29.1825
12/30/2016,28.955
01/03/2017,29.0375
01/04/2017,29.005
01/05/2017,29.1525
01/06/2017,29.4775
01/09/2017,29.7475
01/10/2017,29.7775
01/11/2017,29.9375
01/12/2017,29.8125
01/13/2017,29.76
01/17/2017,30.0
01/18/2017,29.9975
01/19/2017,29.945
01/20/2017,30.0
01/23/2017,30.02
01/24/2017,29.9925
01/25/2017,30.47
01/26/2017,30.485
01/27/2017,30.4875
01/30/2017,30.4075
01/31/2017,30.3375
02/01/2017,32.1875
02/02/2017,32.1325
02/03/2017,32.27
02/06/2017,32.5725
02/07/2017,32.8825
02/08/2017,33.01
02/09/2017,33.105
02/10/2017,33.03
02/13/2017,33.3225
02/14/2017,33.755
02/15/2017,33.8775
02/16/2017,33.8363
02/17/2017,33.93
02/21/2017,34.175
02/22/2017,34.2775
02/23/2017,34.1325
02/24/2017,34.165
02/27/2017,34.2325
02/28/2017,34.2475
03/01/2017,34.9475
03/02/2017,34.74
03/03/2017,34.945
03/06/2017,34.835
03/07/2017,34.88
03/08/2017,34.75
03/09/2017,34.67
03/10/2017,34.785
03/13/2017,34.8
03/14/2017,34.7475
03/15/2017,35.115
03/16/2017,35.1725
03/17/2017,34.9975
03/20/2017,35.365
03/21/2017,34.96
03/22/2017,35.355
03/23/2017,35.23
03/24/2017,35.16
03/27/2017,35.22
03/28/2017,35.95
03/29/2017,36.03
03/30/2017,35.9825
03/31/2017,35.915
04/03/2017,35.925
04/04/2017,36.1925
04/05/2017,36.005
04/06/2017,35.915
04/07/2017,35.835
04/10/2017,35.7925
04/11/2017,35.4075
04/12/2017,35.45
04/13/2017,35.2625
04/17/2017,35.4575
04/18/2017,35.3
04/19/2017,35.17
04/20/2017,35.61
04/21/2017,35.5675
04/24/2017,35.91
04/25/2017,36.1325
04/26/2017,35.92
04/27/2017,35.9475
04/28/2017,35.9125
05/01/2017,36.645
05/02/2017,36.8775
05/03/2017,36.765
05/04/2017,36.6325
05/05/2017,37.24
05/08/2017,38.2525
05/09/2017,38.4975
05/10/2017,38.315
05/11/2017,38.4875
05/12/2017,39.025
05/15/2017,38.925
05/16/2017,38.8675
05/17/2017,37.5625
05/18/2017,38.135
05/19/2017,38.265
05/22/2017,38.4975
05/23/2017,38.45
05/24/2017,38.335
05/25/2017,38.4675
05/26/2017,38.4025
05/30/2017,38.4175
05/31/2017,38.19
06/01/2017,38.295
06/02/2017,38.8625
06/05/2017,38.4825
06/06/2017,38.6125
06/07/2017,38.8425
06/08/2017,38.7475
06/09/2017,37.245
06/12/2017,36.355
06/13/2017,36.6475
06/14/2017,36.29
06/15/2017,36.0725
06/16/2017,35.5675
06/19/2017,36.585
06/20/2017,36.2525
06/21/2017,36.4675
06/22/2017,36.4075
06/23/2017,36.57
06/26/2017,36.455
06/27/2017,35.9325
06/28/2017,36.4575
06/29/2017,35.92
06/30/2017,36.005
07/03/2017,35.875
07/05/2017,36.0225
07/06/2017,35.6825
07/07/2017,36.045
07/10/2017,36.265
07/11/2017,36.3825
07/12/2017,36.435
07/13/2017,36.9425
07/14/2017,37.26
07/17/2017,37.39
07/18/2017,37.52
07/19/2017,37.755
07/20/2017,37.585
07/21/2017,37.5675
07/24/2017,38.0225
07/25/2017,38.185
07/26/2017,38.365
07/27/2017,37.64
07/28/2017,37.375
07/31/2017,37.1825
08/01/2017,37.5125
08/02/2017,39.285
08/03/2017,38.8925
08/04/2017,39.0975
08/07/2017,39.7025
08/08/2017,40.02
08/09/2017,40.265
08/10/2017,38.83
08/11/2017,39.37
08/14/2017,39.9625
08/15/2017,40.4
08/16/2017,40.2375
08/17/2017,39.465
08/18/2017,39.375
08/21/2017,39.3025
08/22/2017,39.945
08/23/2017,39.995
08/24/2017,39.8175
08/25/2017,39.965
08/28/2017,40.3675
08/29/2017,40.7275
08/30/2017,40.8375
08/31/2017,41.0
09/01/2017,41.0125
09/05/2017,40.52
09/06/2017,40.4775
09/07/2017,40.315
09/08/2017,39.6575
09/11/2017,40.375
09/12/2017,40.215
09/13/2017,39.9125
09/14/2017,39.57
